,02d06,Alistipes,Anaerococcus,Anaerofilum,Anaerovibrio,Bacteroides,Bilophila,Blautia,Butyricicoccus,Butyricimonas,CF231,Campylobacter,Clostridium,Collinsella,Coprococcus,Corynebacterium,Desulfovibrio,Dialister,Dorea,Faecalibacterium,Finegoldia,Lachnospira,Lactococcus,Megasphaera,Mogibacterium,Oscillospira,Parabacteroides,Paraprevotella,Peptoniphilus,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,SMB53,Saccharopolyspora,Sarcina,Slackia,Streptococcus,Succinivibrio,Sutterella,Turicibacter,WAL_1855D,[Eubacterium],[Prevotella],[Ruminococcus],NA,Anaerofustis,Bifidobacterium,Catenibacterium,Dehalobacterium,Gemmiger,Mitsuokella,Shuttleworthia,Veillonella,Victivallis,Aggregatibacter,Lactobacillus,Selenomonas,[Clostridium],Acidaminococcus,Butyrivibrio,Fusobacterium,Methanosphaera,Odoribacter,Rothia,Peptococcus,Shigella,Actinomyces,Christensenella,Methanobrevibacter,Oxalobacter,Succinispira,cc_115,Akkermansia,Brachyspira,Helicobacter,Anaerostipes,Lachnobacterium,Enterococcus,rc4-4,Barnesiella,Weissella,Anaerorhabdus,Holdemania,Porphyromonas,Succiniclasticum,Serratia,Alloscardovia,Bulleidia,Leptotrichia,Oribacterium,p-75-a5,Flexispira,Pseudobutyrivibrio,RFN20,Haemophilus,Herbaspirillum,Atopobium,Adlercreutzia,Anaerotruncus,Coprobacillus,Gardnerella,Ralstonia,Eggerthella,Pseudomonas,Jan-68,Gallicola,Peptostreptococcus,ph2,Candidatus Arthromitus,Staphylococcus,Lactonifactor,Subdoligranulum,Pseudoramibacter_Eubacterium,Epulopiscium,Pediococcus,Haloferula,Varibaculum,Synergistes,Cloacibacillus,Defluviitalea,Macellibacteroides,Sneathia,Parvimonas,Mobiluncus,Mycoplasma,Sporobacter,Sharpea,Actinobacillus,vadinCA11,AF12,Anaeroplasma,Gemella,Lachnoanaerobaculum,Moryella,Leuconostoc,Megamonas,Pyramidobacter,Granulicatella,Geobacillus,Lautropia,Aerococcus,Morganella,Ureaplasma,Scardovia,Proteus,Actinobaculum,Streptobacillus,Blvii28,Neisseria,Abiotrophia,Methanomassiliicoccus,Sporanaerobacter,Arcanobacterium,Brevibacterium,GW-34,Nesterenkonia,Acinetobacter,Marvinbryantia,Bacillus,YRC22,Asteroleplasma
DM038-2,NA,101,13,NA,1,4284,NA,425,NA,77,NA,NA,253,NA,443,NA,NA,9,3,NA,5,NA,NA,5,NA,167,864,510,4,214,59,868,16,NA,NA,NA,NA,25,NA,149,31,NA,79,6,1405,2818,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,58,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM038-3,NA,488,33,NA,NA,3042,NA,1019,NA,111,NA,NA,323,NA,167,3,NA,20,19,NA,58,NA,2,7,NA,127,900,1054,46,96,29,501,258,58,NA,NA,NA,75,NA,5,331,2,382,1,1113,2275,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,23,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,4,82,69,NA,2,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,15,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,8,71,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM040-1,NA,8,NA,NA,NA,820,2,1197,18,11,NA,NA,252,65,579,NA,NA,1156,172,1858,NA,16,NA,NA,36,61,55,68,NA,NA,263,1106,1036,179,NA,NA,6,160,NA,12,29,NA,683,94,62,1202,NA,63,1369,NA,147,NA,5,4,NA,NA,8,NA,2,NA,NA,NA,NA,3,NA,63,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,7,31,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM040-2,NA,128,NA,NA,NA,1514,2,570,24,26,NA,NA,153,21,574,NA,NA,1023,96,1257,NA,12,NA,NA,9,174,373,190,NA,NA,269,1527,633,28,NA,NA,2,35,NA,8,47,NA,278,295,25,1762,NA,203,1294,NA,120,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,43,NA,NA,NA,8,1,NA,NA,NA,NA,NA,15,138,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM040-3,NA,153,NA,NA,NA,2310,13,330,29,87,NA,NA,117,15,429,NA,NA,427,98,753,NA,72,NA,NA,19,228,421,216,NA,NA,424,695,756,15,NA,NA,2,18,NA,24,23,NA,262,1449,27,1962,NA,198,1053,NA,78,NA,13,17,NA,NA,3,NA,NA,NA,NA,NA,NA,65,NA,43,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,3,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM042-1,NA,1186,1,2,NA,2341,36,1221,NA,NA,NA,1,327,NA,1237,NA,NA,1,110,1222,1,71,5,2,NA,208,74,NA,3,67,12,282,853,NA,NA,NA,NA,36,NA,55,3,NA,25,2,184,2127,1,103,2,NA,291,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,744,NA,NA,14,NA,NA,12,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,4,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM042-2,NA,823,NA,3,NA,2787,66,1088,NA,NA,NA,NA,469,NA,888,NA,NA,1,111,2046,NA,29,4,NA,NA,191,122,NA,NA,24,9,861,731,NA,NA,NA,NA,42,NA,91,9,NA,11,2,84,1608,NA,205,1,NA,338,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,146,NA,NA,55,NA,NA,10,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM042-3,NA,578,NA,NA,NA,3398,114,742,NA,NA,NA,1,288,NA,587,NA,2,NA,79,860,NA,168,8,NA,NA,255,214,NA,NA,116,11,1207,1054,NA,NA,NA,NA,38,NA,350,9,2,11,NA,89,1838,NA,276,6,NA,161,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,367,NA,NA,18,NA,NA,9,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM043-1,NA,177,NA,NA,NA,4385,NA,797,NA,NA,NA,1,229,38,658,NA,NA,NA,91,1776,NA,184,1,NA,NA,64,578,NA,NA,35,9,798,50,NA,NA,NA,NA,33,1,168,11,NA,51,NA,94,2226,NA,NA,NA,NA,304,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1,NA,79,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,39,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM043-2,NA,887,2,NA,NA,4576,NA,422,NA,NA,NA,NA,293,12,462,NA,NA,7,75,1642,NA,17,3,NA,NA,153,1204,NA,2,95,26,484,67,NA,NA,NA,NA,68,NA,308,12,4,134,9,129,1633,NA,NA,4,NA,4,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM043-3,NA,524,18,NA,NA,4365,NA,479,NA,NA,NA,NA,338,9,452,1,NA,7,82,2022,NA,158,NA,1,NA,243,650,NA,18,52,42,433,117,NA,NA,NA,NA,37,NA,163,1,27,58,1,144,2187,NA,NA,NA,NA,48,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM044-1,NA,749,NA,NA,NA,2146,96,724,NA,NA,NA,NA,402,123,822,NA,NA,90,90,2441,NA,10,NA,NA,NA,347,105,NA,1,NA,33,431,272,NA,NA,NA,NA,497,1,279,19,NA,90,1,255,1673,2,626,3,NA,287,NA,NA,58,NA,NA,4,NA,NA,NA,NA,NA,NA,77,5,NA,NA,8,2,NA,NA,NA,22,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,59,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM044-3,NA,59,1523,NA,NA,1530,57,60,NA,NA,NA,225,72,58,198,207,NA,725,31,185,1283,NA,NA,4,NA,58,186,NA,1158,1,2317,30,4,NA,NA,NA,3,202,NA,547,NA,12,10,NA,38,456,NA,197,3,NA,133,NA,NA,397,NA,NA,6,NA,NA,NA,NA,12,NA,36,NA,3,NA,28,NA,NA,NA,NA,2,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,72,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,283,NA,13,NA,34,NA,29,11,NA,158,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM045-1,NA,37,2,NA,NA,289,NA,391,NA,19,37,4,101,53,420,NA,40,353,115,893,NA,21,3,596,64,174,147,36,1,52,1216,536,304,6,NA,NA,9,21,466,19,2,1,963,196,121,2520,NA,610,1637,NA,18,61,NA,NA,NA,NA,NA,NA,NA,93,16,27,2,4,NA,43,NA,NA,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,NA,12,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM045-2,NA,48,1,NA,NA,51,NA,1530,NA,6,11,NA,69,184,775,NA,26,71,114,240,NA,6,1,18,223,88,6,39,NA,4,393,292,1694,NA,NA,NA,37,16,NA,NA,NA,1,959,55,243,3267,NA,82,2044,1,75,NA,NA,NA,NA,NA,2,NA,NA,3,33,NA,5,NA,NA,50,NA,12,NA,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,13,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM045-3,NA,118,2,NA,NA,546,2,265,NA,64,30,3,37,24,599,NA,106,265,32,926,2,69,NA,398,49,297,94,88,1,73,2213,323,306,NA,NA,NA,5,19,1134,42,NA,11,413,394,75,2764,NA,12,802,NA,48,39,NA,NA,NA,NA,NA,NA,NA,95,8,13,1,9,3,26,NA,1,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,16,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM046-1,9,10,NA,NA,NA,162,5,299,12,8,NA,NA,60,14,592,NA,106,5,53,455,NA,183,1,2,NA,478,87,38,NA,266,4501,321,673,NA,NA,NA,3,9,36,20,NA,NA,196,523,22,2762,NA,3,889,3,62,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,4,NA,10,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM046-2,43,4,NA,NA,NA,1047,5,424,21,92,NA,NA,65,41,641,NA,188,6,39,614,NA,193,NA,50,NA,625,246,29,NA,258,1135,221,467,NA,NA,NA,4,8,26,66,NA,NA,433,618,167,3894,NA,4,1030,2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,15,NA,NA,NA,2,NA,72,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM046-3,10,15,NA,NA,NA,645,12,360,7,46,NA,NA,53,5,421,NA,138,4,47,414,3,159,NA,4,NA,556,390,28,3,202,2644,177,458,NA,NA,NA,1,7,23,94,NA,NA,437,556,162,3749,NA,NA,678,NA,56,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,8,NA,NA,NA,2,NA,27,NA,NA,NA,NA,NA,NA,5,10,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM049-1,NA,679,NA,NA,NA,6444,60,499,NA,NA,NA,NA,175,4,870,NA,NA,3,198,1247,NA,83,6,NA,1,160,408,NA,NA,65,17,170,145,NA,NA,NA,NA,24,NA,185,3,NA,40,4,182,1113,NA,26,4,NA,63,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM049-2,NA,954,2,NA,NA,5643,132,469,NA,NA,NA,4,149,2,514,NA,NA,NA,110,1337,4,103,NA,NA,NA,81,323,NA,NA,116,14,491,290,9,NA,NA,NA,6,NA,281,4,NA,1,1,115,1548,NA,143,2,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM049-3,NA,261,NA,NA,NA,5452,89,505,NA,NA,NA,1,213,6,436,NA,NA,NA,245,2092,NA,310,2,NA,2,108,438,NA,NA,59,11,582,4,NA,NA,NA,NA,3,NA,301,NA,NA,16,NA,270,1303,NA,97,NA,NA,68,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM050-1,NA,398,6,NA,NA,4168,21,624,NA,18,NA,2,287,20,423,NA,45,354,125,1522,3,26,2,127,1,111,273,NA,8,4,51,1169,94,NA,NA,NA,NA,7,NA,40,NA,3,2,NA,154,1837,NA,430,3,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,1,NA,NA,NA,NA,NA,27,NA,NA,34,NA,NA,NA,NA,NA,NA,5,13,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM050-2,NA,492,NA,NA,NA,4540,39,335,NA,57,NA,1,182,26,485,NA,98,261,72,1312,1,51,NA,72,NA,164,401,NA,2,14,53,676,154,NA,NA,NA,NA,24,NA,242,NA,1,1,NA,63,1880,NA,471,4,NA,133,NA,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,2,NA,NA,NA,NA,NA,150,NA,NA,14,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM050-3,NA,515,3,NA,NA,4297,44,492,NA,121,NA,24,146,38,333,NA,46,121,98,1437,4,136,NA,65,4,144,269,NA,19,7,92,1267,67,NA,NA,NA,NA,3,NA,232,5,19,4,NA,102,1868,NA,278,1,NA,141,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,4,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM051-1,NA,212,NA,NA,NA,1360,18,234,NA,63,NA,NA,121,5,54,NA,NA,NA,55,990,NA,37,1,170,21,79,312,NA,NA,178,3287,414,183,NA,NA,NA,NA,26,NA,59,NA,NA,503,5,26,3829,NA,NA,427,NA,40,NA,NA,9,NA,NA,NA,NA,NA,26,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,8,147,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM051-2,NA,141,NA,NA,NA,662,8,266,NA,35,NA,NA,139,11,147,NA,NA,NA,140,1121,NA,322,NA,269,19,98,187,NA,NA,150,4818,491,207,NA,NA,NA,1,33,NA,170,NA,NA,543,3,28,2158,NA,NA,475,NA,48,NA,NA,10,NA,NA,NA,NA,NA,7,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,7,160,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM051-3,NA,252,NA,NA,NA,332,7,386,NA,74,NA,1,250,19,135,NA,NA,2,168,1762,NA,78,NA,192,25,114,239,NA,NA,136,2781,610,638,NA,NA,NA,NA,183,NA,42,NA,NA,1097,NA,69,2556,NA,NA,483,NA,60,NA,NA,2,NA,NA,NA,NA,NA,11,NA,NA,NA,12,3,NA,NA,1,NA,NA,NA,NA,1,21,NA,NA,NA,166,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
